Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type,Counties
2021-07-10,Sommerferie,Summer Holiday,DK,False,False,,School,
2021-07-11,Sommerferie,Summer Holiday,DK,False,False,,School,
2021-07-12,Sommerferie,Summer Holiday,DK,False,False,,School,
2021-07-13,Sommerferie,Summer Holiday,DK,False,False,,School,
2021-07-14,Sommerferie,Summer Holiday,DK,False,False,,School,
2021-07-15,Sommerferie,Summer Holiday,DK,False,False,,School,
2021-07-16,Sommerferie,Summer Holiday,DK,False,False,,School,
2021-07-17,Sommerferie,Summer Holiday,DK,False,False,,School,
2021-07-18,Sommerferie,Summer Holiday,DK,False,False,,School,
2021-07-19,Sommerferie,Summer Holiday,DK,False,False,,School,
2021-07-20,Sommerferie,Summer Holiday,DK,False,False,,School,
2021-07-21,Sommerferie,Summer Holiday,DK,False,False,,School,
2021-07-22,Sommerferie,Summer Holiday,DK,False,False,,School,
2021-07-23,Sommerferie,Summer Holiday,DK,False,False,,School,
2021-07-24,Sommerferie,Summer Holiday,DK,False,False,,School,
2021-07-25,Sommerferie,Summer Holiday,DK,False,False,,School,
2021-07-26,Sommerferie,Summer Holiday,DK,False,False,,School,
2021-07-27,Sommerferie,Summer Holiday,DK,False,False,,School,
2021-07-28,Sommerferie,Summer Holiday,DK,False,False,,School,
2021-07-29,Sommerferie,Summer Holiday,DK,False,False,,School,
2021-07-30,Sommerferie,Summer Holiday,DK,False,False,,School,
