#,Event Id,Event Name,Event Type,Player Id,Attending What,Age,Gender,Nationality,Disability,Event Date,Event Name,Zone
181,535,Sydbyen - Streetbasket,Street Basketball,2306210292,No,3,Male,,No,4/27/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
182,535,Sydbyen - Streetbasket,Street Basketball,2206210119,No,11,Female,,No,4/27/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
183,535,Sydbyen - Streetbasket,Street Basketball,2206210217,"Yes, Sport",18,Female,,No,4/27/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
184,535,Sydbyen - Streetbasket,Street Basketball,2306210296,No,18,Female,,No,4/27/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
185,535,Sydbyen - Streetbasket,Street Basketball,2206210254,No,10,Female,,No,4/27/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
186,535,Sydbyen - Streetbasket,Street Basketball,2206210243,No,10,Female,,No,4/27/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
187,535,Sydbyen - Streetbasket,Street Basketball,2206210244,No,6,Female,,No,4/27/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
188,535,Sydbyen - Streetbasket,Street Basketball,2206540020,No,17,Female,,No,4/27/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
189,535,Sydbyen - Streetbasket,Street Basketball,2206210170,No,12,Female,,No,4/27/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
190,535,Sydbyen - Streetbasket,Street Basketball,2106210010,"Yes, Sport",12,Male,,No,5/4/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
191,535,Sydbyen - Streetbasket,Street Basketball,2206210119,No,11,Female,,No,5/4/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
192,535,Sydbyen - Streetbasket,Street Basketball,2206210121,No,10,Female,,No,5/4/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
193,535,Sydbyen - Streetbasket,Street Basketball,2206210211,No,13,Female,,No,5/4/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
194,535,Sydbyen - Streetbasket,Street Basketball,2206210169,No,8,Female,,No,5/4/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
195,535,Sydbyen - Streetbasket,Street Basketball,2206210219,No,7,Female,,No,5/4/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
196,535,Sydbyen - Streetbasket,Street Basketball,2106210018,No,11,Female,,No,5/4/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
197,535,Sydbyen - Streetbasket,Street Basketball,2206210247,No,12,Female,,No,5/4/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
198,535,Sydbyen - Streetbasket,Street Basketball,2306210294,No,20,Male,,No,5/11/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
199,535,Sydbyen - Streetbasket,Street Basketball,2306210300,No,12,Male,,No,5/11/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
200,535,Sydbyen - Streetbasket,Street Basketball,2102460104,No,15,Female,Lebanese,No,5/11/2023,Sydbyen - Streetbasket,Sydbyen - Næstved
